index,review_index,study_id,study_name
174,49,STD-Kumar-2017,Kumar 2017
175,49,STD-Masoumi-2016,Masoumi 2016
176,49,STD-Park-2015,Park 2015
177,49,STD-Perner-2012,Perner 2012
178,50,STD-England-1996,England 1996
179,51,STD-Hellum-2011,Hellum 2011
180,51,STD-Lambeek-2010,Lambeek 2010
181,51,STD-Smeets-2006_x002f_2008,Smeets 2006_x002f_2008
182,52,STD-Hartmann-2001,Hartmann 2001
183,52,STD-Jebb-1994,Jebb 1994
184,52,STD-Mills-1988,Mills 1988
185,52,STD-Stokman-2003,Stokman 2003
186,52,STD-Symonds-1996,Symonds 1996
187,53,STD-Araujo-2020,Araujo 2020
188,53,STD-Massaro-2020,Massaro 2020
189,53,STD-Nam-2020,Nam 2020
190,54,STD-Goodfellow-2016,Goodfellow 2016
191,54,STD-Taveras-2011,Taveras 2011
192,54,STD-Wake-2013,Wake 2013
193,55,STD-Crowther-2012,Crowther 2012
194,55,STD-Hobbs-2005,Hobbs 2005
195,55,STD-Leicht-2011,Leicht 2011
196,56,STD-Cockcroft-1987,Cockcroft 1987
197,57,STD-Lee-2007,Lee 2007
198,58,STD-Brown-2001,Brown 2001
199,58,STD-Brown-2007,Brown 2007
200,58,STD-Dent-2009,Dent 2009
201,58,STD-Macpherson-2010,Macpherson 2010
202,59,STD-Guzick-2011,Guzick 2011
203,60,STD-Bilton-2020,Bilton 2020
204,60,STD-Konstan-2010b,Konstan 2010b
205,61,STD-Orloff-2015,Orloff 2015
206,62,STD-Choi-2008,Choi 2008
207,62,STD-Dancy-2009,Dancy 2009
208,62,STD-Kershaw-2009,Kershaw 2009
209,63,STD-El_x002d_Mohandes-2011,El_x002d_Mohandes 2011
210,63,STD-Harris-2015,Harris 2015
211,63,STD-Heil-2008,Heil 2008
212,63,STD-Higgins-2014-_x0028_AvB_x0029_,Higgins 2014 _x0028_AvB_x0029_
213,63,STD-Higgins-2014-_x0028_AvC_x0029_,Higgins 2014 _x0028_AvC_x0029_
214,63,STD-Kendrick-1995,Kendrick 1995
215,63,STD-Lawrence-2003-_x0028_AvB_x0029_,Lawrence 2003 _x0028_AvB_x0029_
216,63,STD-Lawrence-2003-_x0028_AvC_x0029_,Lawrence 2003 _x0028_AvC_x0029_
217,63,STD-Lee-2015,Lee 2015
218,63,STD-Loukopoulou-2012,Loukopoulou 2012
219,63,STD-Tappin-2015,Tappin 2015
220,63,STD-Tsoh-2010,Tsoh 2010
221,63,STD-Tuten-2012-_x0028_AvB_x0029_,Tuten 2012 _x0028_AvB_x0029_
222,63,STD-Tuten-2012-_x0028_AvC_x0029_,Tuten 2012 _x0028_AvC_x0029_
223,63,STD-Ussher-2015,Ussher 2015
224,64,STD-Chatwani-1995,Chatwani 1995
225,65,STD-Asmerom-2013,Asmerom 2013
226,65,STD-Gray-2012,Gray 2012
227,66,STD-Barrowclough-2010,Barrowclough 2010
228,66,STD-Hjorthoj-2013,Hjorthoj 2013
229,66,STD-McDonell-2013,McDonell 2013
230,66,STD-Petry-2013,Petry 2013
231,67,STD-BTS-1983,BTS 1983
232,67,STD-Brandon-2016,Brandon 2016
233,67,STD-Gilbert-2013,Gilbert 2013
234,67,STD-Meyer-2008,Meyer 2008
235,67,STD-Meyer-2016,Meyer 2016
236,67,STD-Parekh-2014,Parekh 2014
237,68,STD-Charlesworth-2016,Charlesworth 2016
238,68,STD-Yamagami-2012,Yamagami 2012
239,69,STD-Liu-2015,Liu 2015
240,70,STD-Lumley-2006,Lumley 2006
241,70,STD-Small-2000,Small 2000
242,70,STD-Tripathy-2010,Tripathy 2010
243,71,STD-Elden-2005,Elden 2005
244,71,STD-Licciardone-2010,Licciardone 2010
245,71,STD-Miquelutti-2013,Miquelutti 2013
246,71,STD-Peterson-2012,Peterson 2012
247,71,STD-Wang-2009a,Wang 2009a
248,72,STD-Abdulahi-2021,Abdulahi 2021
249,72,STD-Ahmed-2020,Ahmed 2020
250,72,STD-Clarke-2020,Clarke 2020
251,72,STD-Cresswell-2019,Cresswell 2019
252,72,STD-Hoddinott-2009,Hoddinott 2009
253,72,STD-Hoddinott-2012,Hoddinott 2012
254,72,STD-Nabulsi-2019,Nabulsi 2019
255,72,STD-Nair-2017,Nair 2017
256,72,STD-Nguyen-2017,Nguyen 2017
257,72,STD-Taylor-2017,Taylor 2017
258,72,STD-Tylleskar-2011a,Tylleskar 2011a
259,72,STD-Tylleskar-2011b,Tylleskar 2011b
260,72,STD-Tylleskar-2011c,Tylleskar 2011c
261,73,STD-Kia-2015,Kia 2015
262,73,STD-Liu-2013,Liu 2013
263,73,STD-Pakfetrat-2015,Pakfetrat 2015
264,73,STD-Thomas-2017,Thomas 2017
265,74,STD-Dubey-2006,Dubey 2006
266,74,STD-Emslie-1993,Emslie 1993
267,75,STD-Majumdar-2007,Majumdar 2007
268,76,STD-Chan-2012,Chan 2012
269,76,STD-Duffy-2006,Duffy 2006
270,76,STD-Family-Heart-1994,Family Heart 1994
271,76,STD-Jorstad-2013,Jorstad 2013
272,76,STD-OXCHECK-1994,OXCHECK 1994
273,76,STD-Smit-2016,Smit 2016
274,77,STD-Nakamura-2011,Nakamura 2011
275,78,STD-Blanco-2010,Blanco 2010
276,78,STD-Davidson-2004b,Davidson 2004b
277,78,STD-Moghadam-2015,Moghadam 2015
278,79,STD-Li-2012,Li 2012
279,79,STD-Wang-2015,Wang 2015
280,79,STD-Zhao-2014,Zhao 2014
281,80,STD-Ahmed-2016,Ahmed 2016
282,80,STD-Mundle-2017,Mundle 2017
283,80,STD-Wang-2012,Wang 2012
284,80,STD-Wang-2014,Wang 2014
285,80,STD-Wu-2017,Wu 2017
286,81,STD-Maurice-1978,Maurice 1978
287,81,STD-Post-_x00a0_2021,Post _x00a0_2021
288,82,STD-Kiel-2007,Kiel 2007
289,83,STD-Buist-2008,Buist 2008
290,84,STD-aa-Barrett-2011,aa Barrett 2011
291,84,STD-aa-Beran-2009a,aa Beran 2009a
292,85,STD-Chan-2009,Chan 2009
293,85,STD-Larsson-2014,Larsson 2014
294,85,STD-Ndosi-2013,Ndosi 2013
295,85,STD-Sanne-2010,Sanne 2010
296,86,STD-Singh-2012,Singh 2012
297,86,STD-Thomas-2017,Thomas 2017
298,87,STD-Fukuchi-2016,Fukuchi 2016
299,87,STD-Roy-2014,Roy 2014
300,87,STD-Schermer-2009,Schermer 2009
301,88,STD-Klein-2009,Klein 2009
302,89,STD-Ahluwalia-2006,Ahluwalia 2006
303,89,STD-Chan-2012,Chan 2012
304,89,STD-Kim-2015,Kim 2015
305,89,STD-Marley-2014,Marley 2014
306,89,STD-McCarthy-2008,McCarthy 2008
307,89,STD-Okuyemi-2013,Okuyemi 2013
308,89,STD-Thankappan-2013,Thankappan 2013
309,89,STD-Williams-2010,Williams 2010
310,90,STD-Campbell-2008,Campbell 2008
311,90,STD-Clark-2010,Clark 2010
312,90,STD-Johnson-2009,Johnson 2009
313,90,STD-Kellam-1998-_x0028_GBG_x0029_,Kellam 1998 _x0028_GBG_x0029_
314,90,STD-Nutbeam-1993-_x0028_FSE_x0029_,Nutbeam 1993 _x0028_FSE_x0029_
315,90,STD-Spoth-2001-_x0028_ISFP_x0029_,Spoth 2001 _x0028_ISFP_x0029_
316,90,STD-Storr-2002-_x0028_CC_x0029_,Storr 2002 _x0028_CC_x0029_
317,90,STD-Sun-2008-_x0028_Cognitive_x0029_,Sun 2008 _x0028_Cognitive_x0029_
318,91,STD-Brown-2007,Brown 2007
319,91,STD-Liu-2015,Liu 2015
320,91,STD-Trew-2017,Trew 2017
321,92,STD-Dang-2021,Dang 2021
322,93,STD-McMurdo-2009,McMurdo 2009
